id,description,price,colour
,
31628017-2df5-4db9-94a6-b71eeaf16ff9,ASOS DESIGN skinny cargo trousers in khaki,�30.00,COLOUR:Kalamata
15e94838-ebaf-458f-8c64-7732f4a518e1,ASOS DESIGN relaxed chinos in ecru,�30.00,COLOUR:Pristine
05059176-8cdd-4c24-aff0-1bd6bee8b637,Weekday standard joggers in black,�26.00,COLOUR:BLACK
0a231973-740e-449a-9634-67a992ffc6f5,Weekday Jeremy belted trench coat in beige,�90.00,COLOUR:BEIGE
3324701b-18de-43c9-9e23-1fc6efe433a2,Hollister 5 pack logo waistband trunks in black,�39.00,COLOUR:black
